"Reference","Value","Footprint","AkizukiCode","MPN","Manufacturer","SelectionNote","SourceURL","Supplier","Qty"
"C6","220uF 35V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","111758","35ZLH220MEFCCT8X11.5","Rubycon","220uF 35V; linked item sold out; current equivalent candidate 102718","https://akizukidenshi.com/catalog/g/g111758/","Akizuki Denshi","1"
"C7","470pF 50V C0G","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","131236","RDE5C1H471J0P1H03B","Murata","470pF 50V C0G +/-5%; radial through-hole; 2.5mm pitch","https://akizukidenshi.com/catalog/g/g131236/","Akizuki Denshi","1"
"C8","47uF 35V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","117887","35PX47MEFC5X11","Rubycon","47uF 35V; radial through-hole","https://akizukidenshi.com/catalog/g/g117887/","Akizuki Denshi","1"
"C9","10uF 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","117897","50PX10MEFC5X11","Rubycon","10uF 50V 105C; radial through-hole","https://akizukidenshi.com/catalog/g/g117897/","Akizuki Denshi","1"
"C11","10uF 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","117897","50PX10MEFC5X11","Rubycon","10uF 50V 105C; radial through-hole; positive terminal to GND","https://akizukidenshi.com/catalog/g/g117897/","Akizuki Denshi","1"
"D4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","117244","1N5819","WUXI XUYANG ELECTRONICS","40V 1A Schottky; DO-41 through-hole","https://akizukidenshi.com/catalog/g/g117244/","Akizuki Denshi","1"
"D5","GREEN LED","LED_SMD:LED_0805_2012Metric","106423","OSG50805C1C","OptoSupply","green LED; 2012/0805 SMD; hand-solderable","https://akizukidenshi.com/catalog/g/g106423/","Akizuki Denshi","1"
"D6","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","117244","1N5819","WUXI XUYANG ELECTRONICS","40V 1A Schottky; DO-41 through-hole","https://akizukidenshi.com/catalog/g/g117244/","Akizuki Denshi","1"
"D7","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","117244","1N5819","WUXI XUYANG ELECTRONICS","40V 1A Schottky; DO-41 through-hole","https://akizukidenshi.com/catalog/g/g117244/","Akizuki Denshi","1"
"D8","RED LED","LED_SMD:LED_0805_2012Metric","106419","OSR50805C1C","OptoSupply","red LED; 2012/0805 SMD; hand-solderable","https://akizukidenshi.com/catalog/g/g106419/","Akizuki Denshi","1"
"J1","LTA042B010F_FFC36","Connector_FFC-FPC:TE_3-1734839-6_1x36-1MP_P0.5mm_Horizontal","","","","","","","1"
"J2","5V INPUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","108593","PH-1X2SG","Chang Enn","straight 1x2 2.54mm pin header; through-hole","https://akizukidenshi.com/catalog/g/g108593/","Akizuki Denshi","1"
"J3","13V8 OUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","108593","PH-1X2SG","Chang Enn","straight 1x2 2.54mm pin header; through-hole","https://akizukidenshi.com/catalog/g/g108593/","Akizuki Denshi","1"
